,10•ª0•b,9•ª14•b,8•ª34•b,8•ª0•b,7•ª30•b,7•ª4•b,6•ª40•b,6•ª19•b,6•ª0•b,5•ª43•b,5•ª27•b,5•ª13•b,5•ª0•b,4•ª48•b,4•ª37•b,4•ª27•b,4•ª17•b,4•ª8•b,4•ª0•b
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150
